fecha_publicacion|publicacion|diario_numero|sumario_id|sumario_url_pdf|seccion_codigo|seccion_nombre|departamento_codigo|departamento_nombre|epigrafe_nombre|item_id|item_titulo|item_url_pdf|item_url_html|item_url_xml|szKBytes
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|1|I. Disposiciones generales|7786|PRESIDENCIA DEL GOBIERNO|Luto nacional|BOE-A-2025-8107|Real Decreto 343/2025, de 21 de abril, por el que se declara luto oficial con motivo del fallecimiento de Su Santidad el Papa Francisco.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8107|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8107|185
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|1|I. Disposiciones generales|9562|MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN|Tratados internacionales|BOE-A-2025-8108|Corrección de errores en la Aplicación provisional del Acuerdo entre el Reino de España y la Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura relativo al IV Foro Mundial contra el Racismo y la Discriminación, Barcelona, Reino de España, del 9 al 11 de diciembre de 2024, hecho en París el 6 de diciembre de 2024.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8108|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8108|187
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|1|I. Disposiciones generales|4335|MINISTERIO DE SANIDAD|Sustancias y productos psicotrópicos|BOE-A-2025-8109|Orden SND/380/2025, de 14 de abril, por la que se incluyen nuevas sustancias en el anexo 1 del Real Decreto 2829/1977, de 6 de octubre, por el que se regulan las sustancias y preparados medicinales psicotrópicos, así como la fiscalización e inspección de su fabricación, distribución, prescripción y dispensación.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8109|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8109|207
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|1820|CONSEJO GENERAL DEL PODER JUDICIAL|Adscripciones|BOE-A-2025-8110|Corrección de errores del Acuerdo de 3 de abril de 2025, de la Comisión Permanente del Consejo General del Poder Judicial, por el que se adscribe al Magistrado don José Luis Concepción Rodríguez a la Sala de lo Civil y Penal del Tribunal Superior de Justicia de Castilla y León.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8110|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8110|186
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|9585|MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES|Situaciones|BOE-A-2025-8111|Resolución de 9 de abril de 2025, de la Dirección General de Seguridad Jurídica y Fe Pública, por la que se declara la jubilación de doña Emilia Tapia Izquierdo, Registradora Mercantil y de Bienes Muebles de Cantabria.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8111|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8111|188
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|9586|MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE|Destinos|BOE-A-2025-8112|Resolución de 10 de abril de 2025, de la Subsecretaría, por la que se resuelve la convocatoria de libre designación, efectuada por Resolución de 20 de febrero de 2025.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8112|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8112|202
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|9573|MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL|Destinos|BOE-A-2025-8113|Resolución de 9 de abril de 2025, de la Subsecretaría, por la que se resuelve la convocatoria de libre designación, efectuada por Resolución de 21 de febrero de 2025.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8113|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8113|202
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|9589|MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA|Destinos|BOE-A-2025-8114|Resolución de 11 de abril de 2025, de la Subsecretaría, por la que se resuelve la convocatoria de libre designación, efectuada por Resolución de 20 de diciembre de 2024, en las Oficinas Económicas y Comerciales en el exterior.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8114|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8114|287
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2A|II. Autoridades y personal. - A. Nombramientos, situaciones e incidencias|9595|MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA|Nombramientos|BOE-A-2025-8115|Resolución de 9 de abril de 2025, de la Secretaría de Estado de Función Pública, por la que se nombra personal funcionario de carrera, por el sistema general de acceso libre, del Cuerpo de Ayudantes de Instituciones Penitenciarias.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8115|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8115|192
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2B|II. Autoridades y personal. - B. Oposiciones y concursos|9585|MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES|Procedimientos de libre designación|BOE-A-2025-8116|Resolución de 14 de abril de 2025, de la Secretaría de Estado de Comunicación, por la que se convoca la provisión de puesto de trabajo por el sistema de libre designación.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8116|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8116|320
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2B|II. Autoridades y personal. - B. Oposiciones y concursos|9573|MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL|Personal funcionario. Concursos|BOE-A-2025-8117|Resolución de 9 de abril de 2025, de la Subsecretaría, por la que se convoca concurso para la provisión de puestos de trabajo en el Organismo Estatal Inspección de Trabajo y Seguridad Social.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8117|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8117|494
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2B|II. Autoridades y personal. - B. Oposiciones y concursos|9573|MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL|Procedimientos de libre designación|BOE-A-2025-8118|Resolución de 3 de abril de 2025, de la Subsecretaría, por la que se convoca la provisión de puesto de trabajo por el sistema de libre designación.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8118|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8118|228
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2B|II. Autoridades y personal. - B. Oposiciones y concursos|9573|MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL|Procedimientos de libre designación|BOE-A-2025-8119|Resolución de 10 de abril de 2025, de la Subsecretaría, por la que se convoca la provisión de puestos de trabajo por el sistema de libre designación, en las Consejerías de Trabajo, Migraciones y Seguridad Social.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8119|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8119|229
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2B|II. Autoridades y personal. - B. Oposiciones y concursos|9579|MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES|Procedimientos de libre designación|BOE-A-2025-8120|Resolución de 9 de abril de 2025, de la Secretaría de Estado de Migraciones, por la que se convoca la provisión de puesto de trabajo por el sistema de libre designación.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8120|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8120|248
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2B|II. Autoridades y personal. - B. Oposiciones y concursos|9595|MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA|Personal laboral|BOE-A-2025-8121|Resolución de 11 de abril de 2025, de la Secretaría de Estado de Función Pública, por la que se excluyen aspirantes del proceso selectivo para ingreso, por el sistema general de acceso libre, como personal laboral fijo en el grupo profesional M3, sujeto al IV Convenio Único para el personal laboral de la Administración General del Estado en el Ministerio de Cultura y Deporte, convocado por Resolución de 26 de mayo de 2023.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8121|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8121|199
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2B|II. Autoridades y personal. - B. Oposiciones y concursos|9595|MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA|Personal laboral|BOE-A-2025-8122|Resolución de 11 de abril de 2025, de la Secretaría de Estado de Función Pública, por la que se excluyen aspirantes del proceso selectivo para ingreso, por el sistema general de acceso libre, como personal laboral fijo en el grupo profesional M1, sujeto al IV Convenio Único para el personal laboral de la Administración General del Estado en el Ministerio de Cultura y Deporte, convocado por Resolución de 26 de mayo de 2023.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8122|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8122|206
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2B|II. Autoridades y personal. - B. Oposiciones y concursos|1840|CONSEJO DE SEGURIDAD NUCLEAR|Procedimientos de libre designación|BOE-A-2025-8123|Resolución de 11 de abril de 2025, del Consejo de Seguridad Nuclear, por la que se convoca la provisión de puesto de trabajo por el sistema de libre designación.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8123|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8123|255
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2B|II. Autoridades y personal. - B. Oposiciones y concursos|8140|COMUNIDAD AUTÓNOMA DEL PAÍS VASCO|Especialidades sanitarias|BOE-A-2025-8124|Resolución 267/2025, de 6 de marzo, de la Dirección Gerencia de la Organización Sanitaria Integrada Donostialdea, por la que se convoca concurso para la provisión de un puesto de Jefe/a de Servicio Sanitario de Oncología Médica.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8124|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8124|228
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2B|II. Autoridades y personal. - B. Oposiciones y concursos|9525|ADMINISTRACIÓN LOCAL|Personal funcionario y laboral|BOE-A-2025-8125|Resolución de 11 de abril de 2025, del Ayuntamiento de Segovia, referente a la convocatoria para proveer una plaza.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8125|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8125|186
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2B|II. Autoridades y personal. - B. Oposiciones y concursos|9525|ADMINISTRACIÓN LOCAL|Personal funcionario y laboral|BOE-A-2025-8126|Resolución de 11 de abril de 2025, del Ayuntamiento de Torelló (Barcelona), referente a la convocatoria para proveer una plaza.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8126|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8126|186
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2B|II. Autoridades y personal. - B. Oposiciones y concursos|9525|ADMINISTRACIÓN LOCAL|Personal funcionario y laboral|BOE-A-2025-8127|Resolución de 11 de abril de 2025, del Ayuntamiento de Sabiñánigo (Huesca), referente a la convocatoria para proveer varias plazas.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8127|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8127|187
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2B|II. Autoridades y personal. - B. Oposiciones y concursos|9525|ADMINISTRACIÓN LOCAL|Personal funcionario y laboral|BOE-A-2025-8128|Resolución de 14 de abril de 2025, del Ayuntamiento de Castejón de Monegros (Huesca), de corrección de errores de la de 13 de marzo de 2025, referente a la convocatoria para proveer una plaza.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8128|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8128|187
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|2B|II. Autoridades y personal. - B. Oposiciones y concursos|9525|ADMINISTRACIÓN LOCAL|Personal funcionario y laboral|BOE-A-2025-8129|Resolución de 14 de abril de 2025, del Ayuntamiento de Oliva (Valencia/València), de corrección de errores de la de 4 de abril de 2025, referente a la convocatoria para proveer una plaza.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8129|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8129|186
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|3|III. Otras disposiciones|7320|MINISTERIO DEL INTERIOR|Convenios|BOE-A-2025-8130|Resolución de 11 de abril de 2025, de la Secretaría General Técnica, por la que se publica el Convenio entre la Secretaría de Estado de Seguridad y el Ayuntamiento de Gáldar, en materia de seguridad.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8130|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8130|223
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|3|III. Otras disposiciones|7320|MINISTERIO DEL INTERIOR|Convenios|BOE-A-2025-8131|Resolución de 14 de abril de 2025, de la Secretaría General Técnica, por la que se publica el Convenio entre la Secretaría General de Instituciones Penitenciarias y la Asociación de Discapacitados Físicos de Móstoles, para el cumplimiento de las penas de trabajos en beneficio de la comunidad.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8131|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8131|258
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|3|III. Otras disposiciones|7320|MINISTERIO DEL INTERIOR|Convenios|BOE-A-2025-8132|Resolución de 14 de abril de 2025, de la Secretaría General Técnica, por la que se publica el Convenio entre la Secretaría de Estado de Seguridad y el Ayuntamiento de Barbadás, para la incorporación de los Cuerpos de Policía Locales al Sistema de Seguimiento Integral de los casos de Violencia de Género.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8132|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8132|225
20250422|BOE|97|BOE-S-2025-97|{'szBytes': '411292', 'szKBytes': '402', 'texto': 'https://www.boe.es/boe/dias/2025/04/22/pdfs/BOE-S-2025-97.pdf'}|3|III. Otras disposiciones|7320|MINISTERIO DEL INTERIOR|Convenios|BOE-A-2025-8133|Resolución de 14 de abril de 2025, de la Secretaría General Técnica, por la que se publica el Convenio entre la Secretaría de Estado de Seguridad y el Ayuntamiento de Beas, para la incorporación de los Cuerpos de Policía Locales al Sistema de Seguimiento Integral de los casos de Violencia de Género.||https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-8133|https://www.boe.es/diario_boe/xml.php?id=BOE-A-2025-8133|227
